api	method	path	tag	operation_id	deprecated	pagination	sorting	action	fingerprint
cloud	POST	/floating_ips/{id}/actions/unassign	Floating IP Actions	unassign_floating_ip	no	no	no	starts-action	ea0dfdcbc042bad815c9a68de90c0bb2669c57acf8a3d8e5b46f93e932f48467
cloud	GET	/floating_ips/{id}/actions/{action_id}	Floating IP Actions	get_floating_ip_action	yes	no	no	resource-action-get	cec8668bfa71865b1084543f970c61df3d8d4b8b253fcbd9d5f312c73cdafe37
cloud	GET	/images	Images	list_images	no	yes	yes	none	3e951a06b291a1e947c2ecc106ecee179fd2086bc15c99fcbf2c1c584b589dd0
cloud	GET	/images/actions	Image Actions	list_images_actions	no	yes	yes	action-list	0cdf35e9c9c7376585162ca2baba0700892cf20f08d73b88fdfa1bcf7be959fd
cloud	GET	/images/actions/{id}	Image Actions	get_images_action	no	no	no	action-get	1c64d44db8b7af3c0148991c2ad9502918ab457b40ccb8099e624ec04b8a23de
cloud	DELETE	/images/{id}	Images	delete_image	no	no	no	none	25e2e7777f0ae97300b0ba7b1e526aca7864f55354c016cd82a77652993adeb3
cloud	GET	/images/{id}	Images	get_image	no	no	no	none	0b79a7a8a00647a0677a3be8ed8f0224137fdad3b434d4f273ced991dbe02e08
cloud	PUT	/images/{id}	Images	update_image	no	no	no	none	6f2934db63c9ef9f3c5c2fd7ceec47175ddc199f8b1ff0104884c477cbf3b108
cloud	GET	/images/{id}/actions	Image Actions	list_image_actions	no	yes	yes	action-list	f9cd87a42680a230d7701454c47c7776c7d363a95bf43519495e748645d06c24
cloud	POST	/images/{id}/actions/change_protection	Image Actions	change_image_protection	no	no	no	starts-action	90b921f50b3131498b25df236f056c3be453aca1d32ae3fcdd141781543dbf7a
cloud	GET	/images/{id}/actions/{action_id}	Image Actions	get_image_action	yes	no	no	resource-action-get	33c05a14fb8a7406c5dc67732180c094eab91cdc0d7ef3da5d2c05ba681b857e
cloud	GET	/isos	ISOs	list_isos	no	yes	no	none	32ec28b721bd92776ac1b48ad19469d88d627e7c70f3ec3007bc60feb813102d
