operation_id	api	service	method	path	endpoint_policy	authentication	authentication_scope	query_policy	body_policy	request_headers	request_media	success_status	success_shape	success_root	success_required	success_body	success_media	success_body_max_bytes	error_body	error_media	error_body_max_bytes	pagination	quota	retry	streaming	permit_class	response_identity
delete_network_route	cloud	cloud	POST	/networks/{id}/actions/delete_route	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
delete_network_subnet	cloud	cloud	POST	/networks/{id}/actions/delete_subnet	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
delete_placement_group	cloud	cloud	DELETE	/placement_groups/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	204	empty	-	-	forbidden	forbidden	0	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
delete_primary_ip	cloud	cloud	DELETE	/primary_ips/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	204	empty	-	-	forbidden	forbidden	0	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
delete_server	cloud	cloud	DELETE	/servers/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	action	-	-	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
delete_ssh_key	cloud	security	DELETE	/ssh_keys/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	204	empty	-	-	forbidden	forbidden	0	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
delete_storage_box	hetzner	storage	DELETE	/storage_boxes/{id}	console-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
delete_storage_box_snapshot	hetzner	storage	DELETE	/storage_boxes/{id}/snapshots/{snapshot_id}	console-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
delete_storage_box_subaccount	hetzner	storage	DELETE	/storage_boxes/{id}/subaccounts/{subaccount_id}	console-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
delete_volume	cloud	cloud	DELETE	/volumes/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	204	empty	-	-	forbidden	forbidden	0	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
delete_zone	cloud	dns	DELETE	/zones/{id_or_name}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
delete_zone_rrset	cloud	dns	DELETE	/zones/{id_or_name}/rrsets/{rr_name}/{rr_type}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
detach_load_balancer_from_network	cloud	cloud	POST	/load_balancers/{id}/actions/detach_from_network	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
detach_server_from_network	cloud	cloud	POST	/servers/{id}/actions/detach_from_network	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
detach_server_iso	cloud	cloud	POST	/servers/{id}/actions/detach_iso	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
detach_volume	cloud	cloud	POST	/volumes/{id}/actions/detach	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
disable_load_balancer_public_interface	cloud	cloud	POST	/load_balancers/{id}/actions/disable_public_interface	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
disable_server_backup	cloud	cloud	POST	/servers/{id}/actions/disable_backup	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
disable_server_rescue	cloud	cloud	POST	/servers/{id}/actions/disable_rescue	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
disable_storage_box_snapshot_plan	hetzner	storage	POST	/storage_boxes/{id}/actions/disable_snapshot_plan	console-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
enable_load_balancer_public_interface	cloud	cloud	POST	/load_balancers/{id}/actions/enable_public_interface	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
enable_server_backup	cloud	cloud	POST	/servers/{id}/actions/enable_backup	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	cost	none
enable_server_rescue	cloud	cloud	POST	/servers/{id}/actions/enable_rescue	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	composite	-	-	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
enable_storage_box_snapshot_plan	hetzner	storage	POST	/storage_boxes/{id}/actions/enable_snapshot_plan	console-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
get_action	cloud	cloud	GET	/actions/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_actions	cloud	cloud	GET	/actions	cloud-v1	bearer	required-service	required	forbidden	accept-json	forbidden	200	actions	-	actions	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_certificate	cloud	security	GET	/certificates/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	resource	certificate	certificate	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_certificates_action	cloud	security	GET	/certificates/actions/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_firewall	cloud	cloud	GET	/firewalls/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	resource	firewall	firewall	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_firewalls_action	cloud	cloud	GET	/firewalls/actions/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_floating_ip	cloud	cloud	GET	/floating_ips/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	resource	floating_ip	floating_ip	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_floating_ips_action	cloud	cloud	GET	/floating_ips/actions/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_image	cloud	cloud	GET	/images/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	resource	image	-	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_images_action	cloud	cloud	GET	/images/actions/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_iso	cloud	cloud	GET	/isos/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	resource	iso	iso	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_load_balancer	cloud	cloud	GET	/load_balancers/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	resource	load_balancer	load_balancer	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_load_balancer_metrics	cloud	cloud	GET	/load_balancers/{id}/metrics	cloud-v1	bearer	required-service	required	forbidden	accept-json	forbidden	200	metrics	-	metrics	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_load_balancer_type	cloud	cloud	GET	/load_balancer_types/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	resource	load_balancer_type	load_balancer_type	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_load_balancers_action	cloud	cloud	GET	/load_balancers/actions/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_location	cloud	cloud	GET	/locations/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	resource	location	location	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_network	cloud	cloud	GET	/networks/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	resource	network	-	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_networks_action	cloud	cloud	GET	/networks/actions/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_placement_group	cloud	cloud	GET	/placement_groups/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	resource	placement_group	placement_group	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_pricing	cloud	cloud	GET	/pricing	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	pricing	-	pricing	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_primary_ip	cloud	cloud	GET	/primary_ips/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	resource	primary_ip	primary_ip	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_primary_ips_action	cloud	cloud	GET	/primary_ips/actions/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
get_server	cloud	cloud	GET	/servers/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	200	resource	server	-	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	explicit	buffered	none	none
